gene	status	value_1	value_2	p_value	q_value	significant
NR_046018	NOTEST	0	0.181744	1	1	no
NM_001005484	NOTEST	0	0	1	1	no
NR_028322	NOTEST	0.0436873	0	1	1	no
NR_028327	NOTEST	0.0436873	0	1	1	no
NM_001005277	NOTEST	0	0	1	1	no
NR_103536	NOTEST	0.836784	0.252408	1	1	no
NR_015368	OK	3.77925	1.72528	0.00015	0.00043974	yes
NR_047519	OK	3.77925	1.72528	0.00015	0.00043974	yes
NR_047520	OK	3.77925	1.72528	0.00015	0.00043974	yes
NR_047521	OK	3.77925	1.72528	0.00015	0.00043974	yes
NR_047522	OK	3.77925	1.72528	0.00015	0.00043974	yes
NR_047523	OK	3.77925	1.72528	0.00015	0.00043974	yes
NR_047524	OK	3.77925	1.72528	0.00015	0.00043974	yes
NR_047525	OK	3.77925	1.72528	0.00015	0.00043974	yes
NR_047526	OK	3.77925	1.72528	0.00015	0.00043974	yes
NM_152486	OK	20.3557	6.78536	5e-05	0.000150478	yes
NM_198317	OK	4.87705	0.71082	0.00675	0.0129044	yes
NM_001160184	NOTEST	0	0.293779	1	1	no
NM_032129	NOTEST	0	0.293779	1	1	no
NM_005101	NOTEST	2.3636	1.70978	1	1	no
NM_198576	OK	2.83659	0.727341	5e-05	0.000150478	yes
NR_038869	NOTEST	0	0	1	1	no
NR_029639	NOTEST	0	0	1	1	no
NR_029834	NOTEST	0	0	1	1	no
NR_029957	NOTEST	0	0	1	1	no
NM_001130045	NOTEST	0	0.221757	1	1	no
NM_153254	NOTEST	0	0.221757	1	1	no
NM_080605	OK	10.9707	1.62834	5e-05	0.000150478	yes
NM_001130413	NOTEST	1.71696	0.8287	1	1	no
NM_153339	OK	9.13512	2.03384	0.0004	0.000973473	yes
NM_001029885	NOTEST	0.915037	1.32442	1	1	no
NM_152228	NOTEST	1.46837	0.857536	1	1	no
NR_015434	OK	7.45738	2.08464	5e-05	0.000150478	yes
NM_001146685	NOTEST	0	0.305588	1	1	no
NM_022834	NOTEST	0.383577	0.124006	1	1	no
NM_199121	NOTEST	0.383577	0.124006	1	1	no
NM_001039211	OK	14.092	7.83068	5e-05	0.000150478	yes
NM_031921	OK	50.5681	9.58822	5e-05	0.000150478	yes
NM_001170535	OK	27.5979	6.96836	5e-05	0.000150478	yes
NM_001170536	OK	27.5979	6.96836	5e-05	0.000150478	yes
NM_018188	OK	27.5979	6.96836	5e-05	0.000150478	yes
NM_001170686	OK	6.08921	2.13271	5e-05	0.000150478	yes
NM_001170687	OK	6.08921	2.13271	5e-05	0.000150478	yes
NM_001170688	OK	6.08921	2.13271	5e-05	0.000150478	yes
NM_001170689	OK	6.08921	2.13271	5e-05	0.000150478	yes
NM_080875	OK	6.08921	2.13271	5e-05	0.000150478	yes
NM_006983	NOTEST	0.351351	0.25444	1	1	no
NR_002946	NOTEST	0	0	1	1	no
NM_138705	NOTEST	0	0.0981182	1	1	no
NM_000815	NOTEST	0.423011	0	1	1	no
NM_001033581	OK	3.84376	0.820131	0.00065	0.00155405	yes
NM_001033582	OK	3.84376	0.820131	0.00065	0.00155405	yes
NM_001242874	OK	3.84376	0.820131	0.00065	0.00155405	yes
NM_002744	OK	3.84376	0.820131	0.00065	0.00155405	yes
NM_003036	OK	13.2971	2.16608	5e-05	0.000150478	yes
NM_007033	OK	6.75248	1.47989	5e-05	0.000150478	yes
NM_014638	NOTEST	0.392837	0.757996	1	1	no
NM_003820	NOTEST	0	0.1755	1	1	no
NM_001195736	NOTEST	1.15331	0.17823	1	1	no
NM_001195737	NOTEST	1.15331	0.17823	1	1	no
NM_001195738	NOTEST	1.15331	0.17823	1	1	no
NM_001195740	NOTEST	1.15331	0.17823	1	1	no
NM_001195741	NOTEST	1.15331	0.17823	1	1	no
NM_152371	NOTEST	1.15331	0.17823	1	1	no
NM_080431	NOTEST	0	0	1	1	no
NM_022114	NOTEST	1.03234	0.363164	1	1	no
NM_199454	NOTEST	1.03234	0.363164	1	1	no
NR_036215	NOTEST	0	0	1	1	no
NM_014448	NOTEST	0.471855	0.129905	1	1	no
NM_182752	OK	2.86551	0.868863	0.0053	0.0102469	yes
NM_001126240	OK	4.15933	1.04534	5e-05	0.000150478	yes
NM_001126241	OK	4.15933	1.04534	5e-05	0.000150478	yes
NM_001126242	OK	4.15933	1.04534	5e-05	0.000150478	yes
NM_001204184	OK	4.15933	1.04534	5e-05	0.000150478	yes
NM_001204185	OK	4.15933	1.04534	5e-05	0.000150478	yes
NM_001204186	OK	4.15933	1.04534	5e-05	0.000150478	yes
NM_001204187	OK	4.15933	1.04534	5e-05	0.000150478	yes
NM_001204188	OK	4.15933	1.04534	5e-05	0.000150478	yes
NM_001204189	OK	4.15933	1.04534	5e-05	0.000150478	yes
NM_001204190	OK	4.15933	1.04534	5e-05	0.000150478	yes
NM_001204191	OK	4.15933	1.04534	5e-05	0.000150478	yes
NM_001204192	OK	4.15933	1.04534	5e-05	0.000150478	yes
NM_005427	OK	4.15933	1.04534	5e-05	0.000150478	yes
NM_152492	NOTEST	0	0.579245	1	1	no
NM_001163724	NOTEST	0.532149	1.54148	1	1	no
NM_001282669	OK	16.2685	8.93463	5e-05	0.000150478	yes
NM_004402	OK	16.2685	8.93463	5e-05	0.000150478	yes
NR_024455	OK	12.7026	7.63256	0.0002	0.000581673	yes
NR_040065	NOTEST	0	0.482374	1	1	no
NR_027088	NOTEST	0	0	1	1	no
NM_001042478	NOTEST	0	0	1	1	no
NM_018836	NOTEST	0	0	1	1	no
NR_039612	NOTEST	0	0	1	1	no
NM_001199860	NOTEST	0.816529	0.196289	1	1	no
NM_001199861	NOTEST	0.816529	0.196289	1	1	no
NM_001199862	NOTEST	0.816529	0.196289	1	1	no
NM_001199863	NOTEST	0.816529	0.196289	1	1	no
NM_003636	NOTEST	0.816529	0.196289	1	1	no
NM_172130	NOTEST	0.816529	0.196289	1	1	no
NM_207396	OK	5.07304	3.8227	0.04605	0.0746018	no
NR_103534	OK	3.04179	1.52861	0.0582	0.092213	no
NM_001024598	NOTEST	0	0.890837	1	1	no
NM_031475	NOTEST	0.0547043	0.026323	1	1	no
NM_138697	NOTEST	0.169751	1.39112	1	1	no
NM_177540	NOTEST	0.169751	1.39112	1	1	no
NM_001278647	OK	7.325	5.65758	0.0312	0.0522753	no
NM_001278648	OK	7.325	5.65758	0.0312	0.0522753	no
NM_005341	OK	7.325	5.65758	0.0312	0.0522753	no
NM_153812	OK	5.49849	3.48424	0.01085	0.0202318	yes
NM_001195752	OK	6.38126	7.69032	0.2894	0.313613	no
NM_001195753	OK	6.38126	7.69032	0.2894	0.313613	no
NM_138350	OK	6.38126	7.69032	0.2894	0.313613	no
NM_001195563	OK	16.1911	10.1096	0.0153	0.0276836	yes
NM_001242701	OK	16.1911	10.1096	0.0153	0.0276836	yes
NM_015215	OK	16.1911	10.1096	0.0153	0.0276836	yes
NM_004781	OK	5.18443	1.40379	0.0001	0.000296499	yes
NM_016831	NOTEST	0.0606773	0.131533	1	1	no
NM_001123377	OK	40.2349	16.4766	5e-05	0.000150478	yes
NM_007262	OK	40.2349	16.4766	5e-05	0.000150478	yes
NM_001080397	OK	1.23978	8.13552	0.27285	0.298562	no
NR_038351	NOTEST	1.50419	0.361919	1	1	no
NM_001215	NOTEST	0	0	1	1	no
NM_001270500	NOTEST	0	0	1	1	no
NM_001270501	NOTEST	0	0	1	1	no
NM_001270502	NOTEST	0	0	1	1	no
NM_001282587	OK	7.51621	3.75526	5e-05	0.000150478	yes
NM_004285	OK	7.51621	3.75526	5e-05	0.000150478	yes
NM_025106	NOTEST	2.24924	0.391881	1	1	no
NM_032315	OK	19.8625	3.97275	5e-05	0.000150478	yes
NM_001010866	OK	27.5516	12.1306	5e-05	0.000150478	yes
NM_001130924	OK	27.5516	12.1306	5e-05	0.000150478	yes
NM_005026	OK	8.2492	8.07827	0.84855	0.857819	no
NM_001009566	OK	8.42949	2.77262	0.00015	0.00043974	yes
NM_022787	OK	18.6733	12.6659	5e-05	0.000150478	yes
NM_052960	NOTEST	0	0	1	1	no
NM_001105562	OK	9.96845	3.49667	5e-05	0.000150478	yes
NM_006048	OK	9.96845	3.49667	5e-05	0.000150478	yes
NM_015074	OK	41.2728	20.0332	5e-05	0.000150478	yes
NM_183416	OK	41.2728	20.0332	5e-05	0.000150478	yes
NM_002631	OK	26.3976	9.97493	5e-05	0.000150478	yes
NM_001243768	OK	12.4502	12.3244	0.9436	0.944708	no
NM_001270517	OK	12.4502	12.3244	0.9436	0.944708	no
NM_001302	OK	12.4502	12.3244	0.9436	0.944708	no
NM_198544	OK	12.4502	12.3244	0.9436	0.944708	no
NM_199006	OK	12.4502	12.3244	0.9436	0.944708	no
NM_199294	OK	12.4502	12.3244	0.9436	0.944708	no
NM_004565	OK	5.10473	2.20737	0.00135	0.00276515	yes
NM_007375	OK	23.901	3.54385	5e-05	0.000150478	yes
NR_046600	OK	7.20758	5.21807	0.12335	0.173187	no
NM_021146	OK	7.8535	4.02655	5e-05	0.000150478	yes
NM_013319	OK	15.9845	7.04847	5e-05	0.000150478	yes
NM_020780	NOTEST	0.726553	0.297863	1	1	no
NM_001014765	OK	8.12265	5.0256	0.00045	0.00109034	yes
NM_033182	OK	8.12265	5.0256	0.00045	0.00109034	yes
NM_183412	OK	8.12265	5.0256	0.00045	0.00109034	yes
NM_183413	OK	8.12265	5.0256	0.00045	0.00109034	yes
NM_018438	OK	19.6208	12.2739	0.00025	0.000617377	yes
NM_198545	NOTEST	0	0	1	1	no
NM_001040194	NOTEST	1.65119	0.577369	1	1	no
NM_001040195	NOTEST	1.65119	0.577369	1	1	no
NM_001040196	NOTEST	1.65119	0.577369	1	1	no
NM_001040197	NOTEST	1.65119	0.577369	1	1	no
NM_020350	NOTEST	1.65119	0.577369	1	1	no
NM_001256959	OK	11.2856	4.19616	0.0001	0.000296499	yes
NM_001286	OK	11.2856	4.19616	0.0001	0.000296499	yes
NM_000302	OK	5.15037	1.80124	5e-05	0.000150478	yes
NM_001127660	OK	52.0783	16.9837	5e-05	0.000150478	yes
