gene  status        value_1        value_2        p_value        q_value	significant
NR_046018  NOTEST        0        0.181744        1        1	no
NM_001005484  NOTEST        0        0        1        1	no
NR_028322  NOTEST        0.0436873        0        1        1	no
NR_028327  NOTEST        0.0436873        0        1        1	no
NM_001005277  NOTEST        0        0        1        1	no
NR_103536  NOTEST        0.836784        0.252408        1        1	no
NM_001160184  NOTEST        0        0.293779        1        1	no
NM_032129  NOTEST        0        0.293779        1        1	no
NM_005101  NOTEST        2.3636        1.70978        1        1	no
NR_038869  NOTEST        0        0        1        1	no
NR_029639  NOTEST        0        0        1        1	no
NR_029834  NOTEST        0        0        1        1	no
NR_029957  NOTEST        0        0        1        1	no
NM_001130045  NOTEST        0        0.221757        1        1	no
NM_153254  NOTEST        0        0.221757        1        1	no
NM_001130413  NOTEST        1.71696        0.8287        1        1	no
NM_001029885  NOTEST        0.915037        1.32442        1        1	no
NM_152228  NOTEST        1.46837        0.857536        1        1	no
NM_001146685  NOTEST        0        0.305588        1        1	no
NM_022834  NOTEST        0.383577        0.124006        1        1	no
NM_199121  NOTEST        0.383577        0.124006        1        1	no
NM_006983  NOTEST        0.351351        0.25444        1        1	no
NR_002946  NOTEST        0        0        1        1	no
NM_138705  NOTEST        0        0.0981182        1        1	no
NM_000815  NOTEST        0.423011        0        1        1	no
NM_014638  NOTEST        0.392837        0.757996        1        1	no
NM_003820  NOTEST        0        0.1755        1        1	no
NM_001195736  NOTEST        1.15331        0.17823        1        1	no
NM_001195737  NOTEST        1.15331        0.17823        1        1	no
NM_001195738  NOTEST        1.15331        0.17823        1        1	no
NM_001195740  NOTEST        1.15331        0.17823        1        1	no
NM_001195741  NOTEST        1.15331        0.17823        1        1	no
NM_152371  NOTEST        1.15331        0.17823        1        1	no
NM_080431  NOTEST        0        0        1        1	no
NM_022114  NOTEST        1.03234        0.363164        1        1	no
NM_199454  NOTEST        1.03234        0.363164        1        1	no
NR_036215  NOTEST        0        0        1        1	no
NM_014448  NOTEST        0.471855        0.129905        1        1	no
NM_152492  NOTEST        0        0.579245        1        1	no
NM_001163724  NOTEST        0.532149        1.54148        1        1	no
NR_040065  NOTEST        0        0.482374        1        1	no
NR_027088  NOTEST        0        0        1        1	no
NM_001042478  NOTEST        0        0        1        1	no
NM_018836  NOTEST        0        0        1        1	no
NR_039612  NOTEST        0        0        1        1	no
NM_001199860  NOTEST        0.816529        0.196289        1        1	no
NM_001199861  NOTEST        0.816529        0.196289        1        1	no
NM_001199862  NOTEST        0.816529        0.196289        1        1	no
NM_001199863  NOTEST        0.816529        0.196289        1        1	no
NM_003636  NOTEST        0.816529        0.196289        1        1	no
NM_172130  NOTEST        0.816529        0.196289        1        1	no
NM_207396  OK        5.07304        3.8227        0.04605        0.0746018	no
NR_103534  OK        3.04179        1.52861        0.0582        0.092213	no
NM_001024598  NOTEST        0        0.890837        1        1	no
NM_031475  NOTEST        0.0547043        0.026323        1        1	no
NM_138697  NOTEST        0.169751        1.39112        1        1	no
NM_177540  NOTEST        0.169751        1.39112        1        1	no
NM_001278647  OK        7.325        5.65758        0.0312        0.0522753	no
NM_001278648  OK        7.325        5.65758        0.0312        0.0522753	no
NM_005341  OK        7.325        5.65758        0.0312        0.0522753	no
NM_001195752  OK        6.38126        7.69032        0.2894        0.313613	no
NM_001195753  OK        6.38126        7.69032        0.2894        0.313613	no
NM_138350  OK        6.38126        7.69032        0.2894        0.313613	no
NM_016831  NOTEST        0.0606773        0.131533        1        1	no
NM_001080397  OK        1.23978        8.13552        0.27285        0.298562	no
NR_038351  NOTEST        1.50419        0.361919        1        1	no
NM_001215  NOTEST        0        0        1        1	no
NM_001270500  NOTEST        0        0        1        1	no
NM_001270501  NOTEST        0        0        1        1	no
NM_001270502  NOTEST        0        0        1        1	no
NM_025106  NOTEST        2.24924        0.391881        1        1	no
NM_005026  OK        8.2492        8.07827        0.84855        0.857819	no
NM_052960  NOTEST        0        0        1        1	no
NM_001243768  OK        12.4502        12.3244        0.9436        0.944708	no
NM_001270517  OK        12.4502        12.3244        0.9436        0.944708	no
NM_001302  OK        12.4502        12.3244        0.9436        0.944708	no
NM_198544  OK        12.4502        12.3244        0.9436        0.944708	no
NM_199006  OK        12.4502        12.3244        0.9436        0.944708	no
NM_199294  OK        12.4502        12.3244        0.9436        0.944708	no
NR_046600  OK        7.20758        5.21807        0.12335        0.173187	no
NM_020780  NOTEST        0.726553        0.297863        1        1	no
NM_198545  NOTEST        0        0        1        1	no
NM_001040194  NOTEST        1.65119        0.577369        1        1	no
NM_001040195  NOTEST        1.65119        0.577369        1        1	no
NM_001040196  NOTEST        1.65119        0.577369        1        1	no
NM_001040197  NOTEST        1.65119        0.577369        1        1	no
NM_020350  NOTEST        1.65119        0.577369        1        1	no
NM_021933  OK        5.71128        4.55528        0.2428        0.271716	no
NM_001243  NOTEST        0.966065        0.362568        1        1	no
NM_001281430  NOTEST        0.966065        0.362568        1        1	no
NM_001066  OK        3.98505        2.52913        0.3776        0.402069	no
NR_003022  NOTEST        0        0        1        1	no
NM_001013630  NOTEST        0        0        1        1	no
NM_001103169  NOTEST        0        0        1        1	no
NM_001103170  NOTEST        0        0        1        1	no
NM_152290  NOTEST        0        0        1        1	no
NM_001080830  NOTEST        0        0        1        1	no
NM_023013  NOTEST        0        0        1        1	no
NM_023014  NOTEST        0        0        1        1	no
NM_001012277  NOTEST        0        0        1        1	no
NM_001100631  NOTEST        0        0        1        1	no
NM_001013407  NOTEST        0        0        1        1	no
NM_001282323  NOTEST        0        0        1        1	no
NM_001010890  NOTEST        0        0        1        1	no
NM_001045480  NOTEST        0        0        1        1	no
NM_001099852  NOTEST        0        0        1        1	no
NM_001100114  NOTEST        0        0        1        1	no
NM_001010890  NOTEST        0        0        1        1	no
NM_001099851  NOTEST        0        0        1        1	no
NM_001099852  NOTEST        0        0        1        1	no
NM_001100114  NOTEST        0        0        1        1	no
NM_001136216  NOTEST        2.02451        0.411132        1        1	no
NM_001136217  NOTEST        2.02451        0.411132        1        1	no
NM_001136218  NOTEST        2.02451        0.411132        1        1	no
NM_018022  NOTEST        2.02451        0.411132        1        1	no
NM_024329  OK        7.26017        5.60837        0.08595        0.131672	no
NM_007272  NOTEST        0        1.13658        1        1	no
NM_033440  NOTEST        0        0.366937        1        1	no
NM_015849  NOTEST        0        0.487814        1        1	no
NM_015164  OK        8.67767        6.78141        0.0408        0.0667557	no
NM_001013641  NOTEST        0        0.661973        1        1	no
NM_178840  NOTEST        0        0.122142        1        1	no
NM_001042704  NOTEST        0        0        1        1	no
NM_001257139  NOTEST        0        0        1        1	no
NM_004070  NOTEST        0        0        1        1	no
NM_000085  NOTEST        0        0        1        1	no
NM_001165945  NOTEST        0        0        1        1	no
NR_037446  NOTEST        0        0        1        1	no
NR_027504  NOTEST        1.12254        0.360998        1        1	no
NM_001282321  NOTEST        0        0        1        1	no
NR_037446  NOTEST        0        0        1        1	no
NM_013358  NOTEST        0        0.0240397        1        1	no
NM_016233  NOTEST        0        0.0586975        1        1	no
NM_012387  NOTEST        0        0.213096        1        1	no
NM_001011722  NOTEST        1.0923        0.367714        1        1	no
NM_018125  NOTEST        1.0923        0.367714        1        1	no
NM_030812  NOTEST        0        0.0531156        1        1	no
NM_032880  NOTEST        0.209196        0.050582        1        1	no
NM_152375  NOTEST        0        0        1        1	no
NM_001135254  NOTEST        0.44288        0.16274        1        1	no
NM_002584  NOTEST        0.44288        0.16274        1        1	no
NM_013945  NOTEST        0.44288        0.16274        1        1	no
NM_000871  NOTEST        0.342967        0.854855        1        1	no
NM_000929  NOTEST        0        0        1        1	no
NM_022819  NOTEST        0        0        1        1	no
NM_152376  NOTEST        0        0        1        1	no
NM_001039500  NOTEST        0        0        1        1	no
NM_207334  NOTEST        0.382677        0.0368278        1        1	no
NM_001785  NOTEST        0        0.232566        1        1	no
NR_038404  NOTEST        1.84305        1.22237        1        1	no
NM_001256416  NOTEST        2.07329        1.32026        1        1	no
NM_001256417  NOTEST        2.07329        1.32026        1        1	no
NM_032264  NOTEST        2.07329        1.32026        1        1	no
NM_000478  NOTEST        0.335862        0.0786422        1        1	no
NM_001127501  NOTEST        0.335862        0.0786422        1        1	no
NM_001177520  NOTEST        0.335862        0.0786422        1        1	no
NM_001013693  NOTEST        0.525739        0.184443        1        1	no
NM_007352  NOTEST        0        0        1        1	no
NM_005747  NOTEST        0        0        1        1	no
NR_023918  NOTEST        1.74576        0.315504        1        1	no
NR_023919  NOTEST        1.74576        0.315504        1        1	no
NM_001006943  OK        1.99949        3.16268        0.2706        0.296376	no
NM_020526  OK        1.99949        3.16268        0.2706        0.296376	no
NM_015991  NOTEST        0        0        1        1	no
NM_001114101  NOTEST        0        0        1        1	no
NM_172369  NOTEST        0        0        1        1	no
NM_000491  NOTEST        0        0        1        1	no
NR_039832  NOTEST        260.796        0        1        1	no
NR_036057  NOTEST        0        384.408        1        1	no
NR_033690  NOTEST        0.888477        0.131873        1        1	no
NR_033691  NOTEST        0.888477        0.131873        1        1	no
NM_007260  OK        6.318        5.96875        0.76325        0.777447	no
NR_039615  NOTEST        0        0        1        1	no
NR_027087  NOTEST        0.554204        0.481079        1        1	no
NM_001195010  NOTEST        0.361113        0.457869        1        1	no
NM_021180  NOTEST        0.361113        0.457869        1        1	no
NM_198173  NOTEST        0.361113        0.457869        1        1	no
NM_198174  NOTEST        0.361113        0.457869        1        1	no
NM_001251977  NOTEST        1.51545        0.690296        1        1	no
NM_001251978  NOTEST        1.51545        0.690296        1        1	no
NM_001251979  NOTEST        1.51545        0.690296        1        1	no
NM_001251980  NOTEST        1.51545        0.690296        1        1	no
NM_001251981  NOTEST        1.51545        0.690296        1        1	no
NM_001251982  NOTEST        1.51545        0.690296        1        1	no
NM_001251983  NOTEST        1.51545        0.690296        1        1	no
NM_001251984  NOTEST        1.51545        0.690296        1        1	no
NM_001251985  NOTEST        1.51545        0.690296        1        1	no
NM_013441  NOTEST        1.51545        0.690296        1        1	no
NM_001282564  OK        4.06605        2.48007        0.03415        0.05694	no
NM_018202  OK        4.06605        2.48007        0.03415        0.05694	no
