chr10	93808396	94050875	-	NM_014912	CPEB3	4.80512	3.50128	0.0361	0.0598083	no	3
chr20	45186461	45280100	-	NM_001193342	SLC13A3	8.67199	2.25918	5e-05	0.000150478	yes	8
chr16	66586465	66600190	+	NM_181641	CKLF	13.4423	7.14886	0.0041	0.00802372	yes	11
chr16	66586465	66600190	+	NM_181640	CKLF	13.4423	7.14886	0.0041	0.00802372	yes	12
chr5	180750506	180755196	+	NR_028322	LOC100132287	0	0	1	1	no	15
chr17	41717757	41738931	-	NM_013999	MEOX1	0	0	1	1	no	17
chr19	46112657	46142675	-	NM_012155	EML2	2.21943	0.899245	1	1	no	20
chr1	154540256	154552353	+	NM_000748	CHRNB2	1.94296	14.6336	5e-05	0.000150478	yes	23
chr11	64126624	64139687	+	NM_003942	RPS6KA4	3.23664	0.782778	0.00045	0.00109034	yes	24
chr2	74688183	74692537	-	NM_006302	MOGS	23.2919	19.2459	0.2796	0.303676	no	30
chr11	65421066	65430443	-	NM_001243985	RELA	16.0449	4.50974	5e-05	0.000150478	yes	42
chr1	76540388	77042892	+	NM_001160011	ST6GALNAC3	0.963006	0.509096	1	1	no	48
chr5	58264865	59783925	-	NM_001165899	PDE4D	0.790956	0.449759	1	1	no	51
chr6	24650204	24667115	-	NM_016614	TDP2	19.2714	6.82968	5e-05	0.000150478	yes	57
chr5	137688284	137772716	+	NM_016604	KDM3B	23.0316	12.1654	5e-05	0.000150478	yes	59
chr15	75287875	75313836	+	NM_001178111	SCAMP5	1.74576	0.356351	1	1	no	71
chr2	121103718	121109383	+	NM_002193	INHBB	0.121375	0.117099	1	1	no	74
chr15	101844132	102030187	-	NM_002570	PCSK6	61.7125	20.8478	5e-05	0.000150478	yes	76
chr16	86563781	86588809	-	NM_001159380	MTHFSD	39.0582	2.18906	5e-05	0.000150478	yes	84
chr1	230202955	230417875	+	NM_004481	GALNT2	30.5123	10.4611	5e-05	0.000150478	yes	85
chr9	134452156	134612925	-	NM_005312	RAPGEF1	7.22966	2.26629	0.0035	0.00689471	yes	87
chr6	42896859	42907008	+	NM_006586	CNPY3	11.8409	2.85569	5e-05	0.000150478	yes	88
chr17	48638428	48704832	+	NM_001256325	CACNA1G	0.220603	0.106369	1	1	no	102
chr19	36602104	36604613	+	NM_001270948	OVOL3	4.448	1.96729	0.0888	0.135849	no	104
chr17	4736634	4801356	+	NM_153827	MINK1	18.256	6.9517	5e-05	0.000150478	yes	108
chr6	24357130	24358512	+	NM_181337	KAAG1	0	0	1	1	no	110
chr22	18121349	18213621	+	NM_001270730	BCL2L13	14.7561	5.81166	5e-05	0.000150478	yes	113
chr7	100081549	100092424	+	NM_173564	NYAP1	0.161587	0	1	1	no	115
chr1	167399876	167487847	-	NM_198053	CD247	0.29003	6.46076	0.0012	0.00246805	yes	121
chr5	55149149	55213165	+	NM_001242639	IL31RA	6.9702	4.65685	0.00175	0.00355264	yes	122
chr16	85812230	85833148	-	NM_001142288	EMC8	11.2619	2.82492	5e-05	0.000150478	yes	124
chr3	53529075	53846492	+	NM_001128839	CACNA1D	0.390294	0.496346	1	1	no	126
chr10	13359437	13390298	-	NM_001195604	SEPHS1	17.8082	8.86134	5e-05	0.000150478	yes	129
chr12	113736570	113772925	-	NM_024959	SLC8B1	1.05051	0.823472	1	1	no	133
chr7	150773707	150777970	-	NM_033015	FASTK	25.0044	3.4003	5e-05	0.000150478	yes	136
chr17	7146905	7154995	-	NM_001143775	CTDNEP1	19.174	4.94297	5e-05	0.000150478	yes	153
chrX	135229558	135293518	+	NM_001159703	FHL1	13.3731	8.12159	5e-05	0.000150478	yes	157
chrX	135229558	135293518	+	NM_001159702	FHL1	13.3731	8.12159	5e-05	0.000150478	yes	158
chr6	16299342	16761721	-	NM_000332	ATXN1	1.40228	0.777919	1	1	no	160
chr17	3827162	3867758	-	NM_005173	ATP2A3	0.0903409	0.0653134	1	1	no	174
chr7	150778171	150780620	-	NM_001136044	TMUB1	25.0044	3.4003	5e-05	0.000150478	yes	176
chr16	57662418	57698944	+	NM_001145772	GPR56	2.11304	1.26862	1	1	no	177
chr16	57662418	57698944	+	NM_001145771	GPR56	2.11304	1.26862	1	1	no	178
