chr19	54605159	54606159	+	NM_004542	NDUFA3	51.9344	19.225	0.0008	0.00189962	yes	10020	
chr22	28315294	28316294	-	NM_012399	PITPNB	34.1205	14.7493	5e-05	0.000150478	yes	10728	
chr16	66585465	66586465	+	NM_181641	CKLF	13.4423	7.14886	0.0041	0.00802372	yes	11	
chr19	56164415	56165415	+	NM_007279	U2AF2	66.6794	22.1769	5e-05	0.000150478	yes	11011	
chr1	26324648	26325648	-	NM_000437	PAFAH2	8.89257	4.05657	5e-05	0.000150478	yes	1136	
chr3	150320065	150321065	+	NM_016275	SELT	4.82669	4.84838	0.96745	0.967706	no	11551	
chr16	66585465	66586465	+	NM_181640	CKLF	13.4423	7.14886	0.0041	0.00802372	yes	12	
chr16	66585465	66586465	+	NM_016951	CKLF	13.4423	7.14886	0.0041	0.00802372	yes	12693	
chr16	2254177	2255177	+	NM_001199173	MLST8	5.8359	1.89678	0.0002	0.000581673	yes	12720	
chr1	228291022	228292022	-	NM_024319	C1orf35	22.1173	9.30732	5e-05	0.000150478	yes	12858	
chr1	231473578	231474578	-	NM_175876	EXOC8	27.4966	3.50996	5e-05	0.000150478	yes	13033	
chr4	6674820	6675820	+	NR_015433	LOC93622	23.4959	3.29814	5e-05	0.000150478	yes	13098	
chr1	16302627	16303627	-	NM_001242884	ZBTB17	16.2587	11.9513	0.0046	0.00894788	yes	13193	
chr17	27169841	27170841	-	NM_001077498	FAM222B	21.7648	11.3975	0.00045	0.00109034	yes	13466	
chr10	134144740	134145740	+	NM_001143757	LRRC27	8.64755	5.06891	5e-05	0.000150478	yes	13760	
chr3	14165439	14166439	+	NM_024334	TMEM43	18.1392	8.07852	5e-05	0.000150478	yes	13815	
chr12	120554643	120555643	-	NM_001167606	RAB35	19.7337	9.46003	5e-05	0.000150478	yes	14052	
chr1	231472681	231473681	+	NM_032018	SPRTN	11.6202	4.87767	5e-05	0.000150478	yes	14102	
chr19	13055627	13056627	+	NM_001270363	RAD23A	35.0536	9.12428	5e-05	0.000150478	yes	14183	
chr19	13055627	13056627	+	NM_001270362	RAD23A	35.0536	9.12428	5e-05	0.000150478	yes	14184	
chr19	54605994	54606994	-	NM_130771	OSCAR	1.67993	1.41797	1	1	no	14435	
chr3	14166371	14167371	-	NM_144636	CHCHD4	10.8428	1.02322	0.0003	0.000736379	yes	14608	
chr16	2254177	2255177	+	NM_001199175	MLST8	5.8359	1.89678	0.0002	0.000581673	yes	16148	
