chr19	40324092	40325092	-	NM_001436	FBL	86.2893	28.5114	5e-05	0.000150478	yes	283
chr17	61993562	61994562	-	NM_000515	GH1	0	0	1	1	no	2288
chr16	29827202	29828202	+	NM_145239	PRRT2	1.14196	0.973511	1	1	no	5082
chrX	17754113	17755113	+	NM_001136024	NHS	0.113409	0.0848157	1	1	no	5466
chr19	35615228	35616228	+	NM_005971	FXYD3	0.155673	0.0636918	1	1	no	5682
chr9	67791928	67792928	-	NR_027422	FAM27B	0.364724	0.176375	1	1	no	6130
chr6	35464650	35465650	-	NM_003322	TULP1	0.21311	1.01226	1	1	no	9186
chr19	50636001	50637001	-	NR_024230	SNAR-B2	0	0	1	1	no	10819
chr17	61993562	61994562	-	NM_022561	GH1	0	0	1	1	no	11787
chr8	86728150	86729150	+	NR_003594	REXO1L2P	0	0	1	1	no	13022
chr17	61993562	61994562	-	NM_022559	GH1	0	0	1	1	no	14075
chr21	44592913	44593913	+	NM_000394	CRYAA	0	0	1	1	no	14767
chr5	179104558	179105558	-	NM_001164444	CBY3	1.20131	1.15899	1	1	no	15607
chr1	227922055	227923055	+	NR_024486	LOC100130093	8.33031	1.355	5e-05	0.000150478	yes	16847
chr1	227922055	227923055	+	NR_024485	LOC100130093	8.33031	1.355	5e-05	0.000150478	yes	16848
chr19	35614416	35615416	-	NM_139284	LGI4	0.203429	0.0327917	1	1	no	16899
chr16	29827202	29828202	+	NM_001256443	PRRT2	1.14196	0.973511	1	1	no	18937
chr16	29827202	29828202	+	NM_001256442	PRRT2	1.14196	0.973511	1	1	no	18938
chr19	13055304	13056304	+	NM_004343	CALR	54.0524	16.2678	5e-05	0.000150478	yes	22892
chr3	185348885	185349885	+	NM_021627	SENP2	17.4993	10.6008	0.0002	0.000581673	yes	25024
chr17	61993562	61994562	-	NM_022562	GH1	0	0	1	1	no	26828
chr19	35615228	35616228	+	NM_001136012	FXYD3	0.155673	0.0636918	1	1	no	29653
chr19	35615228	35616228	+	NM_001136011	FXYD3	0.155673	0.0636918	1	1	no	29654
chr19	35615228	35616228	+	NM_001136007	FXYD3	0.155673	0.0636918	1	1	no	29658
chr8	86786244	86787244	-	NR_003594	REXO1L2P	0	0	1	1	no	31164
chr19	35615228	35616228	+	NM_021910	FXYD3	0.155673	0.0636918	1	1	no	32358
chr21	9826263	9827263	+	NR_037458	MIR3687	1.3308e+07	868520	5e-05	0.000150478	yes	34533
chr19	56164526	56165526	+	NM_013301	CCDC106	1.22148	3.21663	0.01115	0.0207633	yes	35328
chr19	48427156	48428156	+	NR_024242	SNAR-A14	0	0	1	1	no	35631
chr19	50594745	50595745	-	NR_024242	SNAR-A14	0	0	1	1	no	35632
chr1	27190947	27191947	+	NM_006142	SFN	0.327633	1.18554	1	1	no	35975
chr19	48421807	48422807	+	NR_004435	SNAR-A1	0	0	1	1	no	36228
chrX	17754113	17755113	+	NM_198270	NHS	0.113409	0.0848157	1	1	no	36358
chr22	28315512	28316512	-	NR_036169	MIR3199-1	0	0	1	1	no	37072
chr21	9826011	9827011	+	NR_037421	MIR3648	1.3308e+07	868520	5e-05	0.000150478	yes	37085
chr17	61993562	61994562	-	NM_022560	GH1	0	0	1	1	no	40782
