chr21	44592913	44593913	+	NM_000394	CRYAA	0	0	1	1	no	14767	
chr1	227922055	227923055	+	NR_024486	LOC100130093	8.33031	1.355	5e-05	0.000150478	yes	16847	
chr1	227922055	227923055	+	NR_024485	LOC100130093	8.33031	1.355	5e-05	0.000150478	yes	16848	
chr19	13055304	13056304	+	NM_004343	CALR	54.0524	16.2678	5e-05	0.000150478	yes	22892	
chr3	185348885	185349885	+	NM_021627	SENP2	17.4993	10.6008	0.0002	0.000581673	yes	25024	
chr19	40324092	40325092	-	NM_001436	FBL	86.2893	28.5114	5e-05	0.000150478	yes	283	
chr19	35615228	35616228	+	NM_001136012	FXYD3	0.155673	0.0636918	1	1	no	29653	
chr19	35615228	35616228	+	NM_001136011	FXYD3	0.155673	0.0636918	1	1	no	29654	
chr19	35615228	35616228	+	NM_001136007	FXYD3	0.155673	0.0636918	1	1	no	29658	
chr8	86786244	86787244	-	NR_003594	REXO1L2P	0	0	1	1	no	31164	
chr19	35615228	35616228	+	NM_021910	FXYD3	0.155673	0.0636918	1	1	no	32358	
chr19	56164526	56165526	+	NM_013301	CCDC106	1.22148	3.21663	0.01115	0.0207633	yes	35328	
chrX	17754113	17755113	+	NM_198270	NHS	0.113409	0.0848157	1	1	no	36358	
chr22	28315512	28316512	-	NR_036169	MIR3199-1	0	0	1	1	no	37072	
chrX	17754113	17755113	+	NM_001136024	NHS	0.113409	0.0848157	1	1	no	5466	
chr19	35615228	35616228	+	NM_005971	FXYD3	0.155673	0.0636918	1	1	no	5682	
chr9	67791928	67792928	-	NR_027422	FAM27B	0.364724	0.176375	1	1	no	6130	
