chr19	3869027	3870027	-	NM_015174	ZFR2	0.999349	0.346804	1	1	no	10126	
chr19	50637121	50638121	-	NR_024230	SNAR-B2	0	0	1	1	no	10819	
chr19	50642494	50643494	-	NR_024230	SNAR-B2	0	0	1	1	no	10820	
chr11	62622483	62623483	+	NM_001012664	SLC3A2	53.3119	11.9629	5e-05	0.000150478	yes	11192	
chr6	27106087	27107087	+	NM_003495	HIST1H4I	24.4958	1.30632	5e-05	0.000150478	yes	11862	
chr19	2783354	2784354	-	NM_003021	SGTA	48.2024	8.91765	5e-05	0.000150478	yes	1270	
chr19	12946242	12947242	-	NM_001270440	RTBDN	8.63962	5.96207	0.02255	0.0391567	yes	12847	
chr1	228291022	228292022	-	NM_024319	C1orf35	22.1173	9.30732	5e-05	0.000150478	yes	12858	
chr19	13055627	13056627	+	NM_001270363	RAD23A	35.0536	9.12428	5e-05	0.000150478	yes	14183	
chr19	13055627	13056627	+	NM_001270362	RAD23A	35.0536	9.12428	5e-05	0.000150478	yes	14184	
chr2	176993467	176994467	+	NM_019558	HOXD8	1.12309	2.545	1	1	no	1430	
chr2	176993467	176994467	+	NM_001199746	HOXD8	1.12309	2.545	1	1	no	15128	
chr19	1523072	1524072	+	NM_001243079	PLK5	3.02575	0.57018	0.0016	0.00325814	yes	15437	
chr6	27841289	27842289	-	NM_003546	HIST1H4L	0	1.09422	1	1	no	15714	
chr6	27799305	27800305	-	NM_003541	HIST1H4K	0	0	1	1	no	15719	
chr1	228352549	228353549	-	NR_103539	IBA57-AS1	6.83579	2.57236	0.00075	0.00178571	yes	1680	
chr17	72856966	72857966	-	NM_001278553	GRIN2C	1.01748	1.92061	1	1	no	16803	
chr1	228353213	228354213	-	NR_103540	IBA57-AS1	6.83579	2.57236	0.00075	0.00178571	yes	1681	
chr1	1243269	1244269	-	NM_030649	ACAP3	5.22198	1.55629	5e-05	0.000150478	yes	17533	
chr15	93632443	93633443	-	NM_020211	RGMA	3.35477	4.18073	0.1569	0.210356	no	17977	
chr16	30967614	30968614	+	NM_014712	SETD1A	22.6448	8.44673	5e-05	0.000150478	yes	18316	
chr11	64528187	64529187	-	NM_001164716	PYGM	1.32502	19.2617	5e-05	0.000150478	yes	18497	
chr6	27858570	27859570	-	NM_003535	HIST1H3J	53.801	3.52366	0.002	0.00403643	yes	19024	
chr6	26224382	26225382	+	NM_003532	HIST1H3E	4.93779	0.34112	0.2205	0.260978	no	19027	
chr19	49457116	49458116	+	NM_004324	BAX	23.2015	9.39051	5e-05	0.000150478	yes	19039	
chr19	5622938	5623938	-	NM_014649	SAFB2	91.9793	41.6717	5e-05	0.000150478	yes	19496	
chr11	118780416	118781416	+	NR_039713	MIR4492	0	0	1	1	no	1964	
chr17	8089262	8090262	+	NR_039746	MIR4521	0	1039.87	1	1	no	19769	
chr19	5689345	5690345	+	NM_015414	RPL36	336.462	171.393	5e-05	0.000150478	yes	20590	
chr16	776265	777265	+	NM_032304	HAGHL	3.01219	1.22361	1	1	no	20703	
chr19	18717660	18718660	-	NM_004750	CRLF1	1.98834	4.14711	0.02835	0.0481598	yes	2158	
chr1	156610739	156611739	+	NM_021948	BCAN	0.055726	0.0598127	1	1	no	21604	
chr17	3538761	3539761	+	NM_004937	CTNS	8.54502	4.30914	5e-05	0.000150478	yes	2162	
chr17	79374578	79375578	-	NR_039894	MIR4740	1404.8	0	0.2032	0.260978	no	21756	
chr17	73780688	73781688	-	NR_039892	MIR4738	0	0	1	1	no	21760	
chr19	4444974	4445974	+	NR_039901	MIR4746	1195.39	0	0.1487	0.200098	no	21761	
chr17	58120466	58121466	-	NR_039890	MIR4737	1113.29	537.033	0.41275	0.43669	no	21762	
chr7	1062662	1063662	-	NR_029898	MIR339	0	0	1	1	no	22012	
chr19	14586174	14587174	-	NM_000955	PTGER1	0.598192	1.22656	1	1	no	22207	
chr19	13055627	13056627	+	NM_005053	RAD23A	35.0536	9.12428	5e-05	0.000150478	yes	22872	
chr15	72668520	72669520	-	NM_000520	HEXA	25.4617	6.95698	5e-05	0.000150478	yes	23197	
chr15	79103773	79104773	-	NM_014272	ADAMTS7	10.4423	1.54507	5e-05	0.000150478	yes	23710	
chr17	41993575	41994575	+	NR_026770	FAM215A	10.427	2.74354	0.00425	0.00830159	yes	23737	
chr17	43510282	43511282	-	NM_174919	ARHGAP27	0	0.07466	1	1	no	23837	
chr2	176993421	176994421	+	NM_001199747	HOXD8	1.12309	2.545	1	1	no	24022	
