chr1	207261583	207262583	+	NM_001017364	C4BPB	0	0	1	1	no	1	
chr6	90348474	90349474	-	NM_020466	LYRM2	10.3902	9.21859	0.0789	0.121786	no	2	
chr10	94050875	94051875	-	NM_014912	CPEB3	4.80512	3.50128	0.0361	0.0598083	no	3	
chr10	86001217	86002217	-	NM_015613	LRIT1	0	0	1	1	no	4	
chr5	180580942	180581942	+	NM_206880	OR2V2	0	0	1	1	no	5	
chr6	138893668	138894668	-	NM_020464	NHSL1	2.89822	4.34929	0.01675	0.0300113	yes	6	
chr2	69614386	69615386	-	NM_001244710	GFPT1	11.9666	6.59539	5e-05	0.000150478	yes	7	
chr20	45280100	45281100	-	NM_001193342	SLC13A3	8.67199	2.25918	5e-05	0.000150478	yes	8	
chr11	59436511	59437511	-	NM_152716	PATL1	26.4852	6.56609	5e-05	0.000150478	yes	9	
chr11	57335803	57336803	-	NM_198183	UBE2L6	0.300714	0.083262	1	1	no	10	
chr16	66585465	66586465	+	NM_181641	CKLF	13.4423	7.14886	0.0041	0.00802372	yes	11	
chr16	66585465	66586465	+	NM_181640	CKLF	13.4423	7.14886	0.0041	0.00802372	yes	12	
chr14	51025742	51026742	+	NM_181598	ATL1	1.16101	6.81301	5e-05	0.000150478	yes	13	
chr19	36911075	36912075	+	NR_033748	LOC644189	0	0.057616	1	1	no	14	
chr5	180749506	180750506	+	NR_028322	LOC100132287	0	0	1	1	no	15	
chrUn_gl000228	75141	76141	+	NM_001127386	DUX4L2	0	0	1	1	no	16	
chr17	41738931	41739931	-	NM_013999	MEOX1	0	0	1	1	no	17	
chr12	10251605	10252605	-	NM_016511	CLEC1A	0	0	1	1	no	18	
chr6	99395882	99396882	-	NM_012160	FBXL4	16.2807	9.22584	5e-05	0.000150478	yes	19	
chr19	46142675	46143675	-	NM_012155	EML2	2.21943	0.899245	1	1	no	20	
chr5	55032844	55033844	+	NM_001166533	DDX4	0	0	1	1	no	21	
chr4	155533902	155534902	-	NM_000509	FGG	0	0	1	1	no	22	
chr1	154539256	154540256	+	NM_000748	CHRNB2	1.94296	14.6336	5e-05	0.000150478	yes	23	
chr11	64125624	64126624	+	NM_003942	RPS6KA4	3.23664	0.782778	0.00045	0.00109034	yes	24	
chr21	40751212	40752212	+	NM_004627	WRB	2.79199	0.656105	0.0159	0.0286486	yes	25	
chr5	19988353	19989353	-	NM_004934	CDH18	0	0	1	1	no	26	
chr10	22604311	22605311	+	NM_012071	COMMD3	9.20443	2.02485	5e-05	0.000150478	yes	27	
chrX	119494939	119495939	+	NM_012069	ATP1B4	7.86774	6.39646	0.0219	0.0380705	yes	28	
chr19	29704136	29705136	-	NM_006003	UQCRFS1	14.9882	3.09861	5e-05	0.000150478	yes	29	
chr2	74692537	74693537	-	NM_006302	MOGS	23.2919	19.2459	0.2796	0.303676	no	30	
chr10	5487513	5488513	+	NM_005863	NET1	25.297	10.4559	5e-05	0.000150478	yes	31	
chr19	51107219	51108219	+	NR_004384	SNAR-F	0	0	1	1	no	32	
chr19	49539276	49540276	+	NR_004383	SNAR-G1	0	0	1	1	no	33	
chr19	10217326	10218326	+	NR_004381	SNORD105	433.125	104.726	0.33555	0.359963	no	34	
chr17	62222437	62223437	+	NR_004380	SNORD104	2576.3	855.309	0.05305	0.084829	no	35	
chrX	109468288	109469288	-	NR_004379	SNORD96B	0	264.61	0.24245	0.271716	no	36	
chr2	86361992	86362992	+	NR_004378	SNORD94	266.973	64.3678	0.05645	0.089658	no	37	
chr22	46730297	46731297	+	NM_001282782	TRMU	21.4379	7.72397	5e-05	0.000150478	yes	38	
chr16	29972350	29973350	+	NM_194280	TMEM219	2.52039	0.332203	1	1	no	39	
chr8	143858437	143859437	-	NM_177476	LYNX1	0.167587	0.0800276	1	1	no	40	
chr8	143851246	143852246	-	NM_177458	LYNX1	0.167587	0.0800276	1	1	no	41	
chr11	65430443	65431443	-	NM_001243985	RELA	16.0449	4.50974	5e-05	0.000150478	yes	42	
chr1	26699266	26700266	-	NM_001114759	ZNF683	0	0	1	1	no	43	
chr14	94576078	94577078	+	NM_001130080	IFI27	0.819074	1.18568	1	1	no	44	
chr11	57424215	57425215	+	NM_001142597	CLP1	6.76135	0.744922	0.0003	0.000736379	yes	45	
chr6_ssto_hap7	4637414	4638414	-	NM_080681	COL11A2	0	0	1	1	no	46	
chr5	72142929	72143929	+	NM_153188	TNPO1	50.7227	23.6008	5e-05	0.000150478	yes	47	
chr1	76539388	76540388	+	NM_001160011	ST6GALNAC3	0.963006	0.509096	1	1	no	48	
chr19	36019253	36020253	-	NM_001166034	SBSN	0.241899	2.61179	0.2541	0.279387	no	49	
chr3	190230839	190231839	+	NM_001167929	IL1RAP	0.121494	0.240614	1	1	no	50	
chr5	59783925	59784925	-	NM_001165899	PDE4D	0.790956	0.449759	1	1	no	51	
chr17	56296966	56297966	-	NM_001165927	MKS1	6.18686	0.617402	0.001	0.00216917	yes	52	
chr15	59278864	59279864	+	NM_001270529	RNF111	9.97902	8.99733	0.32	0.345289	no	53	
chr6_qbl_hap6	2847616	2848616	+	NM_001166538	LST1	0	0	1	1	no	54	
chr2	166325156	166326156	+	NM_001172173	CSRNP3	0.298518	0.274028	1	1	no	55	
chr15	99551024	99552024	-	NM_001167902	PGPEP1L	0.426899	0.975493	1	1	no	56	
chr6	24667115	24668115	-	NM_016614	TDP2	19.2714	6.82968	5e-05	0.000150478	yes	57	
chr8	23385362	23386362	+	NM_016612	SLC25A37	17.229	5.65283	5e-05	0.000150478	yes	58	
chr5	137687284	137688284	+	NM_016604	KDM3B	23.0316	12.1654	5e-05	0.000150478	yes	59	
chr8	145132521	145133521	+	NM_019037	EXOSC4	10.7988	2.41432	0.0027	0.00536921	yes	60	
chr13	114597075	114598075	+	NM_001278674	LINC00452	0	0.0624207	1	1	no	61	
chr2	128784869	128785869	-	NM_024545	SAP130	37.6123	6.75367	5e-05	0.000150478	yes	62	
chr2	242447775	242448775	-	NM_001271978	STK25	22.7691	6.18204	5e-05	0.000150478	yes	63	
chr17	3182268	3183268	-	NM_002551	OR3A2	0	0	1	1	no	64	
chr17	3195876	3196876	-	NM_002550	OR3A1	0	0	1	1	no	65	
chr1	95007413	95008413	-	NM_001993	F3	13.3163	14.9991	0.2237	0.260978	no	66	
chr5	76010867	76011867	+	NM_001992	F2R	12.9713	7.3037	5e-05	0.000150478	yes	67	
chr18	56886399	56887399	+	NM_002091	GRP	0	0	1	1	no	68	
chr5	158757481	158758481	-	NM_002187	IL12B	0.339712	0.819362	1	1	no	69	
chr5	35855976	35856976	+	NM_002185	IL7R	0	0	1	1	no	70	
chr15	75286875	75287875	+	NM_001178111	SCAMP5	1.74576	0.356351	1	1	no	71	
chr12	111806925	111807925	-	NM_001177996	FAM109A	1.66846	0.262941	1	1	no	72	
chr4	155471585	155472585	-	NM_001201564	PLRG1	8.27704	1.6185	5e-05	0.000150478	yes	73	
chr2	121102718	121103718	+	NM_002193	INHBB	0.121375	0.117099	1	1	no	74	
chr5	52284155	52285155	+	NM_002203	ITGA2	4.00719	4.44296	0.39075	0.415711	no	75	
chr15	102030187	102031187	-	NM_002570	PCSK6	61.7125	20.8478	5e-05	0.000150478	yes	76	
chr7	752161	753161	-	NM_002735	PRKAR1B	7.06562	1.16793	5e-05	0.000150478	yes	77	
chr6_cox_hap2	3622780	3623780	-	NM_001206936	AGER	0	0	1	1	no	78	
chr6	49431041	49432041	-	NM_000255	MUT	2.66922	0.405413	1	1	no	79	
chr11	7109164	7110164	+	NM_014469	RBMXL2	0.362011	0.436572	1	1	no	80	
chr14	23845016	23846016	+	NM_001037288	CMTM5	0	0	1	1	no	81	
chr16	10275924	10276924	-	NM_001134408	GRIN2A	0.0401681	0	1	1	no	82	
chr16	10276263	10277263	-	NM_001134407	GRIN2A	0.0401681	0	1	1	no	83	
chr16	86588809	86589809	-	NM_001159380	MTHFSD	39.0582	2.18906	5e-05	0.000150478	yes	84	
chr1	230201955	230202955	+	NM_004481	GALNT2	30.5123	10.4611	5e-05	0.000150478	yes	85	
chr7	156803347	156804347	-	NM_005515	MNX1	1.84969	1.47275	1	1	no	86	
chr9	134612925	134613925	-	NM_005312	RAPGEF1	7.22966	2.26629	0.0035	0.00689471	yes	87	
chr6	42895859	42896859	+	NM_006586	CNPY3	11.8409	2.85569	5e-05	0.000150478	yes	88	
chr20	30062090	30063090	+	NM_014012	REM1	0	0	1	1	no	89	
