chr1	207273337	207274337	+	NM_001017364	C4BPB	0	0	1	1	no	1	
chr6	90340942	90341942	-	NM_020466	LYRM2	10.3902	9.21859	0.0789	0.121786	no	2	
chr10	93807396	93808396	-	NM_014912	CPEB3	4.80512	3.50128	0.0361	0.0598083	no	3	
chr10	85990275	85991275	-	NM_015613	LRIT1	0	0	1	1	no	4	
chr5	180582890	180583890	+	NM_206880	OR2V2	0	0	1	1	no	5	
chr6	138742180	138743180	-	NM_020464	NHSL1	2.89822	4.34929	0.01675	0.0300113	yes	6	
chr2	69545900	69546900	-	NM_001244710	GFPT1	11.9666	6.59539	5e-05	0.000150478	yes	7	
chr20	45185461	45186461	-	NM_001193342	SLC13A3	8.67199	2.25918	5e-05	0.000150478	yes	8	
chr11	59403191	59404191	-	NM_152716	PATL1	26.4852	6.56609	5e-05	0.000150478	yes	9	
chr11	57318127	57319127	-	NM_198183	UBE2L6	0.300714	0.083262	1	1	no	10	
chr16	66600190	66601190	+	NM_181641	CKLF	13.4423	7.14886	0.0041	0.00802372	yes	11	
chr16	66600190	66601190	+	NM_181640	CKLF	13.4423	7.14886	0.0041	0.00802372	yes	12	
chr14	51099784	51100784	+	NM_181598	ATL1	1.16101	6.81301	5e-05	0.000150478	yes	13	
chr19	36913799	36914799	+	NR_033748	LOC644189	0	0.057616	1	1	no	14	
chr5	180755196	180756196	+	NR_028322	LOC100132287	0	0	1	1	no	15	
chrUn_gl000228	77521	78521	+	NM_001127386	DUX4L2	0	0	1	1	no	16	
chr17	41716757	41717757	-	NM_013999	MEOX1	0	0	1	1	no	17	
chr12	10222079	10223079	-	NM_016511	CLEC1A	0	0	1	1	no	18	
chr6	99320600	99321600	-	NM_012160	FBXL4	16.2807	9.22584	5e-05	0.000150478	yes	19	
chr19	46111657	46112657	-	NM_012155	EML2	2.21943	0.899245	1	1	no	20	
chr5	55112605	55113605	+	NM_001166533	DDX4	0	0	1	1	no	21	
chr4	155524285	155525285	-	NM_000509	FGG	0	0	1	1	no	22	
chr1	154552353	154553353	+	NM_000748	CHRNB2	1.94296	14.6336	5e-05	0.000150478	yes	23	
chr11	64139687	64140687	+	NM_003942	RPS6KA4	3.23664	0.782778	0.00045	0.00109034	yes	24	
chr21	40769815	40770815	+	NM_004627	WRB	2.79199	0.656105	0.0159	0.0286486	yes	25	
chr5	19472154	19473154	-	NM_004934	CDH18	0	0	1	1	no	26	
chr10	22609246	22610246	+	NM_012071	COMMD3	9.20443	2.02485	5e-05	0.000150478	yes	27	
