chr16	66586465	66600190	+	NM_181641	CKLF	13.4423	7.14886	0.0041	0.00802372	yes	11
chr16	66586465	66600190	+	NM_181640	CKLF	13.4423	7.14886	0.0041	0.00802372	yes	12
chrX	135229558	135293518	+	NM_001159703	FHL1	13.3731	8.12159	5e-05	0.000150478	yes	157
chrX	135229558	135293518	+	NM_001159702	FHL1	13.3731	8.12159	5e-05	0.000150478	yes	158
chr1	167298280	167396582	+	NM_001198783	POU2F1	16.7075	11.5019	5e-05	0.000150478	yes	188
chr10	70042416	70092684	-	NM_022129	PBLD	16.3932	4.33084	5e-05	0.000150478	yes	378
chr1	32479294	32509482	+	NM_001271878	KHDRBS1	85.0345	22.1259	5e-05	0.000150478	yes	615
chrX	19007424	19140755	-	NM_001079859	GPR64	0.890514	0.292996	1	1	no	672
chr10	124639148	124658230	+	NR_027282	LOC399815	3.24321	1.42632	0.0074	0.0140869	yes	720
chr1	31886659	31907527	+	NM_018565	SERINC2	1.60791	1.59453	1	1	no	766
chr3	93776765	93781831	-	NM_176815	DHFRL1	2.49451	3.49917	0.0097	0.0181862	yes	921
chr1	210502249	210849638	+	NM_001170588	HHAT	0.386909	0.239482	1	1	no	948
chr7	77646373	79082890	-	NM_012301	MAGI2	0.599766	0.105207	1	1	no	956
chr5	109025155	109203429	+	NM_002372	MAN2A1	18.3226	11.573	5e-05	0.000150478	yes	1056
chr1	26286257	26324648	-	NM_000437	PAFAH2	8.89257	4.05657	5e-05	0.000150478	yes	1136
chr2	71336805	71357394	-	NM_032601	MCEE	0.819813	0.132149	1	1	no	1156
chr1	31886659	31907527	+	NM_001199039	SERINC2	1.60791	1.59453	1	1	no	1298
chr11	1012823	1036706	-	NM_005961	MUC6	1.23684	1.85519	1	1	no	1381
chr12	53604349	53626040	-	NM_000966	RARG	0.155297	0.487797	1	1	no	1688
chr17	57970406	58027786	+	NM_001272044	RPS6KB1	32.1452	12.5252	5e-05	0.000150478	yes	1836
chr7	937536	994319	-	NM_006869	ADAP1	1.35573	1.03205	1	1	no	2058
chr17	46684594	46688383	-	NM_004502	HOXB7	0.783132	1.88867	1	1	no	2143
chr19	47421932	47508333	+	NM_004491	ARHGAP35	7.02087	2.79314	5e-05	0.000150478	yes	2144
chrX	31137344	31285024	-	NM_004018	DMD	2.33053	0.990574	1	1	no	2159
chrX	19007424	19140755	-	NM_001184835	GPR64	0.890514	0.292996	1	1	no	2209
chr17	57936840	57970306	-	NM_001193613	TUBD1	17.8378	9.20788	5e-05	0.000150478	yes	2258
chr17	57936840	57970306	-	NM_001193612	TUBD1	17.8378	9.20788	5e-05	0.000150478	yes	2259
chr17	57936840	57970306	-	NM_001193611	TUBD1	17.8378	9.20788	5e-05	0.000150478	yes	2260
chr17	61994562	61996198	-	NM_000515	GH1	0	0	1	1	no	2288
chr9	139702373	139735639	+	NM_001173988	RABL6	922.514	9.83925	5e-05	0.000150478	yes	2317
chr11	8714898	8932498	-	NM_005418	ST5	4.58532	20.1417	5e-05	0.000150478	yes	2339
chr15	100106132	100256629	+	NM_005587	MEF2A	23.935	16.3136	5e-05	0.000150478	yes	2390
chr17	57970406	58027786	+	NM_003161	RPS6KB1	32.1452	12.5252	5e-05	0.000150478	yes	2408
chr19	54597932	54605994	-	NM_001282349	OSCAR	1.67993	1.41797	1	1	no	2450
chrX	31196311	31285024	-	NM_004019	DMD	2.33053	0.990574	1	1	no	2516
chr12	53604349	53626040	-	NM_001243731	RARG	0.155297	0.487797	1	1	no	2571
chr14	77731833	77737655	-	NM_021257	NGB	0.217704	1.57526	1	1	no	2602
chr3	127291906	127309602	-	NM_001136053	TPRA1	4.80281	1.33546	0.0009	0.00212656	yes	2686
chr13	97874549	98046374	+	NM_144778	MBNL2	1.49146	0.799388	1	1	no	3094
chr11	63448921	63527363	+	NM_201430	RTN3	24.5038	9.74604	5e-05	0.000150478	yes	3095
chr5	169010637	169031781	+	NM_017785	SPDL1	17.7839	3.66073	5e-05	0.000150478	yes	3239
chr16	4475805	4506775	+	NM_001135110	DNAJA3	35.355	14.1395	5e-05	0.000150478	yes	3281
chr21	45553493	45565605	+	NM_004649	C21orf33	22.2865	8.90932	5e-05	0.000150478	yes	3323
chr22	29469065	29564321	+	NM_032045	KREMEN1	21.567	11.9036	5e-05	0.000150478	yes	3451
chr20	62612430	62664453	+	NM_012469	PRPF6	11.8872	1.97731	0.0058	0.0111646	yes	3674
chr19	2328628	2355100	+	NM_152988	SPPL2B	17.3638	2.4951	5e-05	0.000150478	yes	3687
chr10	114710008	114927436	+	NM_001198529	TCF7L2	47.865	19.3302	5e-05	0.000150478	yes	3790
chr19	18794424	18893143	+	NM_015321	CRTC1	28.6724	6.44821	5e-05	0.000150478	yes	3841
chr3	52232098	52248343	+	NM_199166	ALAS1	7.96427	2.84975	5e-05	0.000150478	yes	3913
chr9	36336398	36400296	-	NM_022781	RNF38	17.5557	9.02995	5e-05	0.000150478	yes	3914
chr3	52232098	52248343	+	NM_000688	ALAS1	7.96427	2.84975	5e-05	0.000150478	yes	3964
chr1	210502249	210849638	+	NM_001170587	HHAT	0.386909	0.239482	1	1	no	4103
chr3	14153576	14166371	-	NM_001098502	CHCHD4	10.8428	1.02322	0.0003	0.000736379	yes	4225
chrX	117031775	117250828	-	NM_001168303	KLHL13	2.67231	1.2332	0.00225	0.00451581	yes	4338
chrX	117031775	117250828	-	NM_001168302	KLHL13	2.67231	1.2332	0.00225	0.00451581	yes	4339
chrX	117031775	117251303	-	NM_001168301	KLHL13	2.67231	1.2332	0.00225	0.00451581	yes	4340
chr11	63448921	63527363	+	NM_201429	RTN3	24.5038	9.74604	5e-05	0.000150478	yes	4458
chr19	19144386	19168987	+	NM_001199196	ARMC6	46.4735	14.5369	5e-05	0.000150478	yes	4607
chr18	319354	500729	-	NM_130386	COLEC12	0.86963	0.449238	1	1	no	4646
chr20	30532757	30539883	-	NM_030815	PDRG1	7.78443	1.87736	0.0008	0.00189962	yes	4778
chrX	31137344	31285024	-	NM_004017	DMD	2.33053	0.990574	1	1	no	4805
chrX	31137344	31285024	-	NM_004016	DMD	2.33053	0.990574	1	1	no	4806
chr16	4475805	4506775	+	NM_005147	DNAJA3	35.355	14.1395	5e-05	0.000150478	yes	4826
chr7	6728063	6746566	-	NM_006956	ZNF12	21.9572	2.55472	5e-05	0.000150478	yes	5059
chr16	29823408	29827202	+	NM_145239	PRRT2	1.14196	0.973511	1	1	no	5082
chr19	5720687	5778742	+	NM_152784	CATSPERD	0.528651	9.62895	0.0001	0.000296499	yes	5140
chr15	100106132	100256629	+	NM_001171894	MEF2A	23.935	16.3136	5e-05	0.000150478	yes	5205
chr2	190526124	190535557	+	NM_019048	ASNSD1	18.9732	4.90189	5e-05	0.000150478	yes	5231
chrX	31137344	33146545	-	NM_004009	DMD	2.33053	0.990574	1	1	no	5246
chr1	154955769	154965587	+	NM_001184891	FLAD1	24.4636	10.0112	5e-05	0.000150478	yes	5359
chr5	179041178	179050711	-	NM_001257293	HNRNPH1	221.189	71.8603	5e-05	0.000150478	yes	5402
chr19	56152391	56154836	+	NM_207115	ZNF580	9.85741	2.40396	5e-05	0.000150478	yes	5535
chr10	70044837	70092684	-	NM_001033083	PBLD	16.3932	4.33084	5e-05	0.000150478	yes	5579
chr1	154955769	154961488	+	NM_001184892	FLAD1	24.4636	10.0112	5e-05	0.000150478	yes	5629
chr1	24646055	24681808	+	NM_001195010	GRHL3	0.361113	0.457869	1	1	no	5916
chr19	56153417	56154836	+	NM_016202	ZNF580	9.85741	2.40396	5e-05	0.000150478	yes	5956
chr1	202172904	202288889	+	NM_021636	LGR6	0	0.804751	1	1	no	6031
chr6	157710053	157745253	-	NM_018452	TMEM242	3.41977	2.51709	0.01455	0.0263754	yes	6198
chr6	161768589	163148834	-	NM_013987	PARK2	11.4879	7.02869	5e-05	0.000150478	yes	6201
chr16	66586465	66613038	+	NM_001204099	CKLF-CMTM1	13.4423	7.14886	0.0041	0.00802372	yes	6242
chr7	1036622	1177893	-	NM_001134396	C7orf50	19.4887	3.26131	5e-05	0.000150478	yes	6245
chr7	1036622	1177893	-	NM_001134395	C7orf50	19.4887	3.26131	5e-05	0.000150478	yes	6247
chr12	70910631	71003624	-	NM_001206972	PTPRB	1.46501	1.11212	1	1	no	6266
chr15	50716573	50793280	+	NM_005154	USP8	10.1523	4.57764	0.0001	0.000296499	yes	6445
chr1	235272657	235292256	-	NM_014765	TOMM20	144.767	50.5344	5e-05	0.000150478	yes	6515
chr15	79252288	79383215	-	NM_002891	RASGRF1	0	13.5878	5e-05	0.000150478	yes	6560
chr10	124608609	124639157	-	NM_001204364	FAM24B	2.75292	1.99528	1	1	no	6621
chr16	2525146	2555734	+	NM_001199107	TBC1D24	5.19745	2.83787	5e-05	0.000150478	yes	6721
chr1	167190065	167396582	+	NM_001198786	POU2F1	16.7075	11.5019	5e-05	0.000150478	yes	6898
chr22	30636435	30642840	-	NM_002309	LIF	0.253752	0.0979165	1	1	no	7056
chr12	20522178	20837041	+	NM_000921	PDE3A	0.22911	0.110518	1	1	no	7205
chr1	16268363	16302627	-	NM_003443	ZBTB17	16.2587	11.9513	0.0046	0.00894788	yes	7382
chr21	47609037	47648738	-	NM_002340	LSS	22.7424	9.72814	5e-05	0.000150478	yes	7541
chr2	148687965	148778329	-	NM_002552	ORC4	127.715	103.447	5e-05	0.000150478	yes	7548
chrX	31137344	32430371	-	NM_004011	DMD	2.33053	0.990574	1	1	no	7634
chr15	66994673	67074337	+	NM_005585	SMAD6	9.47934	2.03657	0.00055	0.00132335	yes	7684
chr19	14258548	14316997	-	NM_001008701	LPHN1	25.013	9.15234	5e-05	0.000150478	yes	7993
chr22	17597188	17602257	-	NM_001163079	CECR6	0.388755	1.60486	1	1	no	8392
chrX	31137344	33357726	-	NM_000109	DMD	2.33053	0.990574	1	1	no	8396
chr1	32479294	32509482	+	NM_006559	KHDRBS1	85.0345	22.1259	5e-05	0.000150478	yes	8490
chr15	99645285	99675800	+	NM_145728	SYNM	1.84618	1.63317	1	1	no	8689
chr9	140509783	140513308	-	NM_032937	C9orf37	13.0815	2.15741	5e-05	0.000150478	yes	8733
chr2	3501689	3523350	-	NM_018269	ADI1	4.69838	2.56479	0.0154	0.0278608	yes	8766
chr9	2621792	2654485	+	NM_003383	VLDLR	0.579517	1.53655	1	1	no	9132
chr1	45794913	45806142	-	NM_012222	MUTYH	3.1114	2.71362	0.5704	0.591267	no	9157
chr6	35465650	35480647	-	NM_003322	TULP1	0.21311	1.01226	1	1	no	9186
chr1	91966403	91991321	+	NM_001134419	CDC7	60.8913	11.8856	5e-05	0.000150478	yes	9258
chr2	115219179	116602326	+	NM_001178036	DPP10	0	0	1	1	no	9289
chr3	50654561	50686728	+	NM_004635	MAPKAPK3	7.09606	1.49528	5e-05	0.000150478	yes	9350
chrX	9983794	10112518	+	NM_015691	WWC3	0.320323	0.266862	1	1	no	9395
chrX	31137344	33146544	-	NM_004010	DMD	2.33053	0.990574	1	1	no	9585
chr8	86758550	86789306	-	NM_172239	REXO1L1	2.21238	2.01862	1	1	no	9706
chr19	18794424	18893143	+	NM_001098482	CRTC1	28.6724	6.44821	5e-05	0.000150478	yes	9731
chrX	31137344	31526415	-	NM_004014	DMD	2.33053	0.990574	1	1	no	9792
chrX	31137344	32173586	-	NM_004013	DMD	2.33053	0.990574	1	1	no	9804
chr19	56153462	56154836	+	NM_001163423	ZNF580	9.85741	2.40396	5e-05	0.000150478	yes	9884
chr19	54606159	54610281	+	NM_004542	NDUFA3	51.9344	19.225	0.0008	0.00189962	yes	10020
chr17	43224683	43229468	+	NM_006460	HEXIM1	16.9248	12.783	5e-05	0.000150478	yes	10124
chr14	36007557	36278432	-	NM_194301	RALGAPA1	32.1105	16.3763	5e-05	0.000150478	yes	10146
chr1	31885962	31907527	+	NM_178865	SERINC2	1.60791	1.59453	1	1	no	10283
chr22	28247656	28315294	-	NM_012399	PITPNB	34.1205	14.7493	5e-05	0.000150478	yes	10728
chr20	30697308	30755061	+	NM_014742	TM9SF4	32.6356	15.2635	5e-05	0.000150478	yes	10756
chr19	50637001	50637121	-	NR_024230	SNAR-B2	0	0	1	1	no	10819
chr12	54388991	54390569	-	NR_047505	HOXC-AS2	0.606647	0.585276	1	1	no	10895
chrX	153295685	153363188	-	NM_001110792	MECP2	21.1755	7.53204	5e-05	0.000150478	yes	10966
chr19	56165415	56186082	+	NM_007279	U2AF2	66.6794	22.1769	5e-05	0.000150478	yes	11011
chr5	52083773	52098452	+	NM_015946	PELO	5.24391	0.805316	5e-05	0.000150478	yes	11375
chr9	5629118	5776556	+	NM_001206557	KIAA1432	18.6459	16.3158	0.08925	0.13649	no	11463
chr9	71736179	71870124	+	NM_001170414	TJP2	47.6447	27.5278	5e-05	0.000150478	yes	11502
chr3	150321065	150348234	+	NM_016275	SELT	4.82669	4.84838	0.96745	0.967706	no	11551
chr16	23072727	23160591	-	NM_020718	USP31	14.518	7.22638	5e-05	0.000150478	yes	11585
chr17	3468739	3512705	-	NM_080704	TRPV1	32.7694	17.0072	5e-05	0.000150478	yes	11614
chr17	61994562	61996198	-	NM_022561	GH1	0	0	1	1	no	11787
chr17	78518624	78940173	+	NM_001163034	RPTOR	51.3413	9.44973	5e-05	0.000150478	yes	11963
chr19	5623045	5668489	+	NM_002967	SAFB	87.1623	23.9086	5e-05	0.000150478	yes	12221
chr7	157331749	158380482	-	NM_130842	PTPRN2	0.561661	0.232094	1	1	no	12306
chrX	27826106	27841131	+	NM_182506	MAGEB10	10.9263	5.52042	5e-05	0.000150478	yes	12346
chr9	36336398	36400920	-	NM_194332	RNF38	17.5557	9.02995	5e-05	0.000150478	yes	12351
chr19	13106583	13209610	+	NM_002501	NFIX	2.61593	1.95602	0.05095	0.0817629	no	12356
chr15	79252288	79383215	-	NM_001145648	RASGRF1	0	13.5878	5e-05	0.000150478	yes	12468
chr22	50713407	50746001	-	NM_012401	PLXNB2	4.5916	1.42535	5e-05	0.000150478	yes	12570
chr15	50716573	50793280	+	NM_001128610	USP8	10.1523	4.57764	0.0001	0.000296499	yes	12588
chr12	49952076	49961928	-	NM_006337	MCRS1	20.8153	4.56686	5e-05	0.000150478	yes	12659
chr16	66586465	66600190	+	NM_016951	CKLF	13.4423	7.14886	0.0041	0.00802372	yes	12693
chr16	2255177	2259418	+	NM_001199173	MLST8	5.8359	1.89678	0.0002	0.000581673	yes	12720
chr1	228288427	228291022	-	NM_024319	C1orf35	22.1173	9.30732	5e-05	0.000150478	yes	12858
chrX	135229558	135293518	+	NM_001449	FHL1	13.3731	8.12159	5e-05	0.000150478	yes	12972
chr8	86727072	86728150	+	NR_003594	REXO1L2P	0	0	1	1	no	13022
chr1	231468481	231473578	-	NM_175876	EXOC8	27.4966	3.50996	5e-05	0.000150478	yes	13033
chr4	6675820	6677774	+	NR_015433	LOC93622	23.4959	3.29814	5e-05	0.000150478	yes	13098
chr1	16268363	16302627	-	NM_001242884	ZBTB17	16.2587	11.9513	0.0046	0.00894788	yes	13193
chr19	42829760	42882921	+	NM_001410	MEGF8	8.71149	3.52221	5e-05	0.000150478	yes	13212
chr5	177664616	178017556	-	NM_173465	COL23A1	0.381954	1.93454	1	1	no	13241
chr1	210502639	210849638	+	NM_001170580	HHAT	0.386909	0.239482	1	1	no	13442
chr1	210501595	210849638	+	NM_001170564	HHAT	0.386909	0.239482	1	1	no	13443
chrX	19007424	19140755	-	NM_001184837	GPR64	0.890514	0.292996	1	1	no	13460
chr17	27082995	27169841	-	NM_001077498	FAM222B	21.7648	11.3975	0.00045	0.00109034	yes	13466
chr14	99876140	99947226	-	NM_199123	SETD3	34.1561	12.9647	5e-05	0.000150478	yes	13486
chr10	134145740	134195010	+	NM_001143757	LRRC27	8.64755	5.06891	5e-05	0.000150478	yes	13760
chr10	114710008	114927436	+	NM_001198531	TCF7L2	47.865	19.3302	5e-05	0.000150478	yes	13767
chr10	114710008	114927436	+	NM_001198530	TCF7L2	47.865	19.3302	5e-05	0.000150478	yes	13768
chr10	114710008	114927436	+	NM_030756	TCF7L2	47.865	19.3302	5e-05	0.000150478	yes	13802
chr3	14166439	14185180	+	NM_024334	TMEM43	18.1392	8.07852	5e-05	0.000150478	yes	13815
chr1	156711898	156722024	-	NM_001126051	HDGF	21.9577	4.22327	5e-05	0.000150478	yes	13875
chr7	157331749	158380482	-	NM_130843	PTPRN2	0.561661	0.232094	1	1	no	13925
chr1	6845383	7829766	+	NM_015215	CAMTA1	16.1911	10.1096	0.0153	0.0276836	yes	13961
chr1	234527058	234614849	-	NM_005646	TARBP1	38.8999	17.6188	5e-05	0.000150478	yes	13999
chr12	120532898	120554643	-	NM_001167606	RAB35	19.7337	9.46003	5e-05	0.000150478	yes	14052
chr17	61994562	61996198	-	NM_022559	GH1	0	0	1	1	no	14075
chr1	231473681	231490769	+	NM_032018	SPRTN	11.6202	4.87767	5e-05	0.000150478	yes	14102
chr19	13056627	13064457	+	NM_001270363	RAD23A	35.0536	9.12428	5e-05	0.000150478	yes	14183
chr19	13056627	13064457	+	NM_001270362	RAD23A	35.0536	9.12428	5e-05	0.000150478	yes	14184
chr10	114710008	114927436	+	NM_001146274	TCF7L2	47.865	19.3302	5e-05	0.000150478	yes	14201
chr19	54597932	54605994	-	NM_130771	OSCAR	1.67993	1.41797	1	1	no	14435
chr8	13947372	15095792	-	NM_139167	SGCZ	0	0	1	1	no	14491
chrX	31137344	31285024	-	NM_004015	DMD	2.33053	0.990574	1	1	no	14501
chr2	236402732	236761846	+	NM_001244888	AGAP1	25.518	3.84575	5e-05	0.000150478	yes	14563
chr3	14153576	14166371	-	NM_144636	CHCHD4	10.8428	1.02322	0.0003	0.000736379	yes	14608
chrX	19007424	19140755	-	NM_001184834	GPR64	0.890514	0.292996	1	1	no	14771
chr4	1723216	1746905	+	NM_006342	TACC3	39.8104	9.05335	5e-05	0.000150478	yes	15106
chr3	46963219	47023500	-	NM_144716	CCDC12	67.6821	24.2747	5e-05	0.000150478	yes	15298
chr19	16308664	16346156	+	NM_001130524	AP1M1	21.1376	6.28405	5e-05	0.000150478	yes	15359
