chr3	141043054	141168632	+	NM_001080412	ZBTB38	0.53399	0.311227	1	1	no	10908	
chr4	187207251	187422212	-	NR_033900	F11-AS1	0	0	1	1	no	12234	
chr4	187337279	187422212	-	NR_033901	F11-AS1	0	0	1	1	no	12235	
chr7	157331749	158380482	-	NM_130842	PTPRN2	0.561661	0.232094	1	1	no	12306	
chr15	28764756	28778143	-	NR_033353	GOLGA8G	0	0	1	1	no	12372	
chr15	28765515	28778143	-	NR_033351	GOLGA8F	0	0	1	1	no	12374	
chr10	34398487	35104253	-	NM_001184785	PARD3	16.2158	10.537	0.0115	0.021391	yes	12470	
chr20	25744101	25776878	-	NR_027061	FAM182B	0	0.256184	1	1	no	13667	
chr10	34601187	35104253	-	NM_001184794	PARD3	16.2158	10.537	0.0115	0.021391	yes	13693	
chr1	144851423	144995033	-	NM_014644	PDE4DIP	18.2263	7.91834	5e-05	0.000150478	yes	13902	
chr7	157331749	158380482	-	NM_130843	PTPRN2	0.561661	0.232094	1	1	no	13925	
chr1	202559724	202612581	-	NM_001136504	SYT2	2.37746	6.60311	5e-05	0.000150478	yes	1482	
chr10	34601187	35104253	-	NM_001184793	PARD3	16.2158	10.537	0.0115	0.021391	yes	15321	
chr17	7362684	7387568	-	NM_020899	ZBTB4	3.64939	1.75376	5e-05	0.000150478	yes	15374	
chr5	175969511	176022769	+	NM_001171976	CDHR2	1.2228	3.87988	0.0004	0.000973473	yes	15412	
chr1	144951760	145076186	-	NM_022359	PDE4DIP	18.2263	7.91834	5e-05	0.000150478	yes	15842	
chr17	36283959	36295098	+	NM_001123391	TBC1D3	0	0	1	1	no	15922	
chr18	44057216	44236996	-	NM_144612	LOXHD1	0	0.053476	1	1	no	1601	
chr6	33986419	34123399	-	NM_001256809	GRM4	0.110354	0.0876596	1	1	no	16798	
chr2	109745996	110262207	+	NM_001099289	SH3RF3	0.943013	0.617278	1	1	no	17276	
chr19	34855644	34893318	+	NM_001184722	GPI	14.9187	6.48225	5e-05	0.000150478	yes	17616	
chr4	7760439	7941653	-	NM_001134647	AFAP1	2.33352	1.03912	1	1	no	17786	
chr5	180467224	180488523	+	NM_152547	BTNL9	6.84952	1.34803	5e-05	0.000150478	yes	18392	
chr6	33986419	34113914	-	NM_001282847	GRM4	0.110354	0.0876596	1	1	no	18962	
chr21	11020841	11098925	-	NM_182484	BAGE5	4.87279	3.40628	0.2169	0.260978	no	20059	
chr11	70116805	70224598	+	NM_177423	PPFIA1	46.5509	23.0254	5e-05	0.000150478	yes	20149	
chr20	2517252	2622430	+	NM_080751	TMC2	0.306916	0.355472	1	1	no	20658	
